epoch,train_loss,val_loss,train_acc,val_acc
1,1.2600582308239408,0.8442441920439402,0.6367924528301887,0.8406593406593407
2,0.7470826241705153,0.6809815466403961,0.8632075471698113,0.9010989010989011
3,0.6646973468639232,0.6524598201115926,0.9044811320754716,0.9230769230769231
4,0.6123912930488586,0.6273867040872574,0.9233490566037735,0.9285714285714286
5,0.5841167856145788,0.6099906514088312,0.9457547169811321,0.9505494505494505
6,0.554652765945152,0.6013980557521185,0.9681603773584906,0.9505494505494505
7,0.5457421364607634,0.594943568110466,0.9610849056603774,0.945054945054945
8,0.5287322556530988,0.6037425051132838,0.972877358490566,0.945054945054945
9,0.5088242413821044,0.5781022757291794,0.9834905660377359,0.9560439560439561
10,0.5045076001573492,0.590034211675326,0.9811320754716981,0.9505494505494505
